temperature 	 Volume_T	Volume_0	Volume_thermal_expansion	Linear_thermal_expansion	Cv_calc	Linear_expansion_factor	phi
402.0	46.16059145838908	45.64128985291565	6.184682954903451e-06	2.061560984967817e-06	10.575860989585415	1.000828747515957	5.818023550474465e-07
404.0	46.161166887485955	45.64128985291565	6.23290428801593e-06	2.0776347626719766e-06	10.650111744910136	1.0008393644441196	5.897172112995011e-07
406.0	46.16174685711455	45.64128985291565	6.2820078834858836e-06	2.094002627828628e-06	10.724036717964836	1.0008501650668984	5.978687289503192e-07
408.0	46.162331405471384	45.64128985291565	6.33152335680668e-06	2.1105077856022266e-06	10.797631348818278	1.0008610871765258	6.061704155073347e-07
410.0	46.16292033466887	45.64128985291565	6.378893564873931e-06	2.1262978549579772e-06	10.870878969941224	1.0008717821205328	6.141325141162456e-07
412.0	46.16351371173294	45.64128985291565	6.4269879350038485e-06	2.1423293116679494e-06	10.943794503186014	1.0008826396764072	6.223031816308514e-07
414.0	46.164111560983265	45.64128985291565	6.475343862030066e-06	2.158447954010022e-06	11.016373701919157	1.0008935974529602	6.305953194890387e-07
416.0	46.16471374858717	45.64128985291565	6.522248382353816e-06	2.174082794117939e-06	11.088604959893082	1.000904418442353	6.38675330618504e-07
418.0	46.16532039625869	45.64128985291565	6.570469328896319e-06	2.1901564429654397e-06	11.160503253983704	1.0009154853931594	6.470830891148477e-07
420.0	46.16593142262607	45.64128985291565	6.6178070696324775e-06	2.2059356898774924e-06	11.232054246061898	1.0009264929897486	6.553884933341862e-07
422.0	46.16654664147859	45.64128985291565	6.663126179393437e-06	2.221042059797812e-06	11.303249837934109	1.0009372797492346	6.633633853595655e-07
424.0	46.16716645605589	45.64128985291565	6.7128107080631385e-06	2.2376035693543796e-06	11.374127412890807	1.0009487439134062	6.722776877967437e-07
426.0	46.16779053077197	45.64128985291565	6.758858773289253e-06	2.2529529244297513e-06	11.444637667088914	1.0009597579458072	6.805378650034828e-07
428.0	46.168418837635535	45.64128985291565	6.804601826780105e-06	2.2682006089267017e-06	11.514799753924734	1.0009707898606206	6.888056856825383e-07
430.0	46.169051463391156	45.64128985291565	6.851282451819209e-06	2.2837608172730696e-06	11.584620462249156	1.0009820171514274	6.973330519131871e-07
432.0	46.16968837416298	45.64128985291565	6.897594293541937e-06	2.299198097847312e-06	11.65409107477363	1.00099325357827	7.058566048874085e-07
434.0	46.17032955730048	45.64128985291565	6.943767221255312e-06	2.3145890737517704e-06	11.723212341196668	1.0010045316580083	7.144227693197686e-07
436.0	46.17097493478522	45.64128985291565	6.9890933304190686e-06	2.329697776806356e-06	11.791979268416382	1.0010157482306876	7.228853366463559e-07
438.0	46.17162453049903	45.64128985291565	7.03467616535592e-06	2.34489205511864e-06	11.860398208680149	1.0010270627201419	7.314710175533295e-07
440.0	46.17227834594258	45.64128985291565	7.080273330181818e-06	2.3600911100606063e-06	11.92846725542817	1.0010384400884267	7.401304880606175e-07
442.0	46.17293638403035	45.64128985291565	7.125900121718686e-06	2.3753000405728955e-06	11.996186157348355	1.0010498826179333	7.488674208420504e-07
444.0	46.17359845790541	45.64128985291565	7.169501518769154e-06	2.389833839589718e-06	12.063541626042307	1.0010610862247777	7.57248976650266e-07
446.0	46.17426481198795	45.64128985291565	7.215747795220014e-06	2.405249265073338e-06	12.130563066402448	1.0010727411722227	7.662588204436239e-07
448.0	46.174935123511965	45.64128985291565	7.258496986804165e-06	2.4194989956013885e-06	12.197211248776812	1.0010839355500294	7.745974664128713e-07
450.0	46.17560974437533	45.64128985291565	7.3050548047313525e-06	2.4350182682437843e-06	12.263532813798971	1.0010957582207096	7.838183388011811e-07
452.0	46.17628819271285	45.64128985291565	7.346392838990237e-06	2.4487976129967456e-06	12.329469785968843	1.0011068565210746	7.919910212940374e-07
454.0	46.17697095857445	45.64128985291565	7.393035346930434e-06	2.464345115643478e-06	12.395090039865023	1.0011188126825021	8.013755383551414e-07
456.0	46.177657545156656	45.64128985291565	7.434296446392457e-06	2.478098815464152e-06	12.460324594599916	1.0011300130598517	8.096662621634673e-07
458.0	46.17834839245107	45.64128985291565	7.480319825005598e-06	2.4934399416685327e-06	12.52523947729179	1.001141995493284	8.190625655696648e-07
460.0	46.17904309939642	45.64128985291565	7.521998615476459e-06	2.5073328718254866e-06	12.58977560640894	1.0011533731210398	8.275803646502914e-07
462.0	46.179741876683444	45.64128985291565	7.565956764450907e-06	2.5219855881503026e-06	12.653976544900694	1.0011651573417255	8.366678287785517e-07
464.0	46.1804444900977	45.64128985291565	7.607377019680597e-06	2.5357923398935323e-06	12.71781101736626	1.0011766076457107	8.452642687897631e-07
466.0	46.18115114743158	45.64128985291565	7.651045173791098e-06	2.5503483912636994e-06	12.781310960472965	1.0011884623503289	8.544284689620078e-07
