temperature	strain-1_cv	strain-2_cv	strain-3_cv	strain-4_cv	strain-5_cv	strain-6_cv	strain-7_cv	strain-8_cv	strain-9_cv	strain-10_cv	strain-11_cv
370.0	7.3935983625	7.747620875	8.1173066375	8.5043247875	8.9049807625	9.3174723625	9.73889815	10.1680112125	10.602942925	11.03746055	11.47604925
372.0	7.4635648375	7.8197568875	8.1914280875	8.5802221875	8.98242025	9.3962002375	9.81865085	10.2485160375	10.68392405	11.1186513875	11.55718145
374.0	7.5334474	7.891773375	8.26539145	8.6559204875	9.0596181	9.4746432	9.8980755	10.32865055	10.764494125	11.1993928625	11.63782855
376.0	7.60324105	7.9636653125	8.3391917625	8.7314149375	9.1365698625	9.55279725	9.977168625	10.40841185	10.84465095	11.279683525	11.7179899
378.0	7.672940925	8.035427775	8.4128241875	8.8067008875	9.213271225	9.630658525	10.0559268875	10.4877972375	10.9243925125	11.3595220875	11.797664975
380.0	7.7425422125	8.10705595	8.486284025	8.8817738625	9.28971805	9.7082233	10.1343471375	10.5668041875	11.00371695	11.4389074	11.8768533625
382.0	7.8120402125	8.178545125	8.5595666625	8.9566295125	9.365906325	9.785488025	10.2124263375	10.645430275	11.0826225625	11.5178384875	11.95555485
384.0	7.8814303125	8.2498907125	8.632667625	9.031263575	9.4418321625	9.8624492875	10.2901616375	10.723673275	11.1611077625	11.596314475	12.0337692875
386.0	7.9507080125	8.3210882125	8.7055825875	9.105672	9.5174918625	9.9391038375	10.3675503125	10.801531075	11.2391711375	11.6743346625	12.1114966875
388.0	8.0198688625	8.39213325	8.7783073	9.1798507875	9.5928818	10.015448525	10.4445898	10.8790017375	11.3168113875	11.7518984375	12.1887371875
390.0	8.08890855	8.4630215375	8.85083765	9.253796125	9.6679985375	10.091480375	10.52127765	10.9560834375	11.3940273875	11.8290053625	12.2654910375
392.0	8.157822825	8.5337488875	8.92316965	9.327504275	9.74283875	10.16719655	10.597611575	11.0327744875	11.4708180875	11.905655075	12.3417586
