temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
172.0	-8.6852881385	-8.771655153375	-8.83632826175	-8.88155876475	-8.9090571815	-8.921071481375	-8.919122147125	-8.9047436685	-8.879020395625	-8.8435343405	-8.799280885875001
174.0	-8.6852954955	-8.7716629175	-8.836336472874999	-8.881567481875	-8.909066461750001	-8.921081391249999	-8.919132756875	-8.904755062875	-8.879032673375	-8.843547594375	-8.799295256375
176.0	-8.685303137875001	-8.77167098175	-8.836345000749999	-8.881576534375	-8.909076098125	-8.921091680624999	-8.919143772125	-8.90476689175	-8.879045418125	-8.843561350875001	-8.799310169375001
178.0	-8.68531107225	-8.77167935325	-8.836353852624999	-8.881585930125	-8.909086099	-8.921102358375	-8.919155202125	-8.904779165125	-8.87905864025	-8.843575621000001	-8.7993256365
180.0	-8.685319305125	-8.771688038875	-8.836363035749999	-8.8815956765	-8.909096472375001	-8.921113432999999	-8.91916705625	-8.90479189275	-8.87907235025	-8.843590415875001	-8.799341669625
182.0	-8.685327843125	-8.771697045375001	-8.836372557374998	-8.881605781375	-8.9091072265	-8.921124913249999	-8.9191793435	-8.90480508425	-8.879086558625	-8.843605746625	-8.7993582805
184.0	-8.685336692875001	-8.77170637975	-8.836382424875	-8.881616252375	-8.909118369375001	-8.921136807624999	-8.919192073125	-8.904818749624999	-8.879101275625	-8.843621624125001	-8.799375480750001
186.0	-8.685345860750001	-8.771716048750001	-8.836392645499998	-8.881627097125001	-8.909129909375	-8.921149125	-8.9192052545	-8.9048328985	-8.87911651175	-8.843638059625	-8.799393282125001
188.0	-8.685355353375002	-8.7717260595	-8.836403226249999	-8.8816383235	-8.909141854375001	-8.921161873874999	-8.9192188965	-8.90484754075	-8.879132277375	-8.843655063875001	-8.799411696125
190.0	-8.68536517725	-8.771736418625	-8.836414174749999	-8.881649939	-8.90915421275	-8.921175063	-8.919233008625	-8.90486268625	-8.879148582875	-8.843672648125	-8.799430734500001
192.0	-8.685375339	-8.77174713325	-8.836425498125	-8.881661951375001	-8.909166992625	-8.921188700875	-8.9192476	-8.9048783445	-8.8791654385	-8.843690823000001	-8.799450408625
194.0	-8.685385845125001	-8.771758210125	-8.8364372035	-8.88167436825	-8.909180202	-8.92120279625	-8.91926267975	-8.904894525375	-8.87918285475	-8.843709599625	-8.799470729875
196.0	-8.685396702125	-8.771769656	-8.836449298249999	-8.8816871975	-8.909193849125	-8.921217357875	-8.919278256875	-8.904911238625	-8.879200841625	-8.843728988625001	-8.799491709875001
198.0	-8.6854079165	-8.771781478000001	-8.836461789625	-8.8817004465	-8.909207942125	-8.921232394125	-8.919294340875	-8.904928493875	-8.879219409625	-8.843749001	-8.799513359750001
