temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
186.0	-8.8419739725	-8.87188763725	-8.894344525625	-8.90993106725	-8.919017776375	-8.921961280625	-8.919099352749999	-8.910710341625	-8.896984631875	-8.878074705625	-8.854206777625
188.0	-8.841987645625	-8.87190112075	-8.89435786375	-8.909944304625	-8.91903095225	-8.921974425	-8.919112528374999	-8.910723576625001	-8.896997970625	-8.878088193	-8.854220466375
190.0	-8.842001789125	-8.8719150685	-8.894371661375	-8.90995799825	-8.9190445825	-8.92198802275	-8.91912615825	-8.910737267750001	-8.89701176875	-8.87810214425	-8.854234624750001
192.0	-8.842016412	-8.871929489374999	-8.894385927375	-8.909972156875	-8.91905867575	-8.922002082750002	-8.919140251125	-8.910751423875	-8.897026035125	-8.87811656825	-8.85424926175
194.0	-8.84203152325	-8.871944392375	-8.894400670625	-8.909986789625	-8.919073241000001	-8.922016614	-8.919154816125	-8.910766054000002	-8.89704077875	-8.878131474	-8.8542643865
196.0	-8.842047132125	-8.871959786625	-8.894415900375	-8.910001905249999	-8.919088287125	-8.922031625375	-8.919169861875	-8.91078116675	-8.897056008375	-8.878146870375001	-8.854280007875001
198.0	-8.842063247499999	-8.871975681	-8.894431625125	-8.910017512625	-8.919103823	-8.922047125625001	-8.919185397249999	-8.910796771375	-8.897071733125	-8.878162766375	-8.854296134750001
200.0	-8.842079878375	-8.871992084375	-8.894447854000001	-8.910033620624999	-8.919119857250001	-8.922063123625001	-8.91920143125	-8.910812876375001	-8.897087961625	-8.878179170875	-8.854312776
202.0	-8.842097033875	-8.872009005625	-8.894464595875	-8.910050238124999	-8.919136399000001	-8.922079628250001	-8.919217972624999	-8.91082949075	-8.89710470275	-8.878196092500001	-8.854329940625
204.0	-8.842114722624999	-8.87202645375	-8.8944818595	-8.910067373875	-8.919153456875	-8.922096648125	-8.919235030125	-8.91084662325	-8.897121965375	-8.878213540375	-8.854347637250001
206.0	-8.842132953875	-8.872044437625	-8.894499653625001	-8.910085036625	-8.919171039625	-8.922114192250001	-8.9192526125	-8.910864282625	-8.897139758375	-8.878231523125	-8.854365874875
208.0	-8.842151736249999	-8.872062965875	-8.894517987	-8.910103235125	-8.919189156	-8.922132269	-8.919270728499999	-8.91088247775	-8.89715809025	-8.8782500495	-8.854384662000001
210.0	-8.842171078624999	-8.872082047374999	-8.894536868625	-8.91012197825	-8.919207814750001	-8.9221508875	-8.919289386874999	-8.910901217125001	-8.89717697	-8.87826912825	-8.854404007625
212.0	-8.842190989875	-8.872101690874999	-8.894556306875	-8.910141274375	-8.919227024500001	-8.922170056	-8.919308596125	-8.910920509625	-8.897196405999999	-8.878288768125001	-8.854423920125
214.0	-8.8422114785	-8.872121904875	-8.8945763105	-8.910161132375	-8.919246793875	-8.9221897835	-8.919328365124999	-8.910940363625	-8.897216407125	-8.878308977500001	-8.85444440825
216.0	-8.84223255325	-8.872142698374999	-8.89459688825	-8.910181560749999	-8.9192671315	-8.92221007825	-8.91934870225	-8.910960787875	-8.89723698175	-8.878329765250001	-8.854465480625
218.0	-8.842254222874999	-8.8721640795	-8.8946180485	-8.910202568125	-8.919288045750001	-8.922230949000001	-8.919369616125	-8.910981791000001	-8.8972581385	-8.878351139625	-8.854487145750001
