temp,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
98.0,1049.3929106666667,133.7202807333333,133.7202807333333,0.0,0.0,0.0,133.7202807333333,1049.3929106666667,133.7202807333333,0.0,0.0,0.0,133.7202807333333,133.7202807333333,1049.3929106666667,0.0,0.0,0.0,0.0,0.0,0.0,565.3963134666666,0.0,0.0,0.0,0.0,0.0,0.0,565.3963134666666,0.0,0.0,0.0,0.0,0.0,0.0,565.3963134666666
100.0,1049.2971333333335,133.70879666666664,133.70879666666664,0.0,0.0,0.0,133.70879666666664,1049.2971333333335,133.70879666666664,0.0,0.0,0.0,133.70879666666664,133.70879666666664,1049.2971333333335,0.0,0.0,0.0,0.0,0.0,0.0,565.3359933333334,0.0,0.0,0.0,0.0,0.0,0.0,565.3359933333334,0.0,0.0,0.0,0.0,0.0,0.0,565.3359933333334
102.0,1049.201356,133.69731259999998,133.69731259999998,0.0,0.0,0.0,133.69731259999998,1049.201356,133.69731259999998,0.0,0.0,0.0,133.69731259999998,133.69731259999998,1049.201356,0.0,0.0,0.0,0.0,0.0,0.0,565.2756732,0.0,0.0,0.0,0.0,0.0,0.0,565.2756732,0.0,0.0,0.0,0.0,0.0,0.0,565.2756732
104.0,1049.1055786666666,133.6858285333333,133.6858285333333,0.0,0.0,0.0,133.6858285333333,1049.1055786666666,133.6858285333333,0.0,0.0,0.0,133.6858285333333,133.6858285333333,1049.1055786666666,0.0,0.0,0.0,0.0,0.0,0.0,565.2153530666667,0.0,0.0,0.0,0.0,0.0,0.0,565.2153530666667,0.0,0.0,0.0,0.0,0.0,0.0,565.2153530666667
106.0,1049.0098013333334,133.67434446666664,133.67434446666664,0.0,0.0,0.0,133.67434446666664,1049.0098013333334,133.67434446666664,0.0,0.0,0.0,133.67434446666664,133.67434446666664,1049.0098013333334,0.0,0.0,0.0,0.0,0.0,0.0,565.1550329333334,0.0,0.0,0.0,0.0,0.0,0.0,565.1550329333334,0.0,0.0,0.0,0.0,0.0,0.0,565.1550329333334
108.0,1048.914024,133.66286039999997,133.66286039999997,0.0,0.0,0.0,133.66286039999997,1048.914024,133.66286039999997,0.0,0.0,0.0,133.66286039999997,133.66286039999997,1048.914024,0.0,0.0,0.0,0.0,0.0,0.0,565.0947128,0.0,0.0,0.0,0.0,0.0,0.0,565.0947128,0.0,0.0,0.0,0.0,0.0,0.0,565.0947128
110.0,1048.8182466666667,133.6513763333333,133.6513763333333,0.0,0.0,0.0,133.6513763333333,1048.8182466666667,133.6513763333333,0.0,0.0,0.0,133.6513763333333,133.6513763333333,1048.8182466666667,0.0,0.0,0.0,0.0,0.0,0.0,565.0343926666667,0.0,0.0,0.0,0.0,0.0,0.0,565.0343926666667,0.0,0.0,0.0,0.0,0.0,0.0,565.0343926666667
112.0,1048.7224693333333,133.63989226666664,133.63989226666664,0.0,0.0,0.0,133.63989226666664,1048.7224693333333,133.63989226666664,0.0,0.0,0.0,133.63989226666664,133.63989226666664,1048.7224693333333,0.0,0.0,0.0,0.0,0.0,0.0,564.9740725333334,0.0,0.0,0.0,0.0,0.0,0.0,564.9740725333334,0.0,0.0,0.0,0.0,0.0,0.0,564.9740725333334
114.0,1048.626692,133.62840819999997,133.62840819999997,0.0,0.0,0.0,133.62840819999997,1048.626692,133.62840819999997,0.0,0.0,0.0,133.62840819999997,133.62840819999997,1048.626692,0.0,0.0,0.0,0.0,0.0,0.0,564.9137524,0.0,0.0,0.0,0.0,0.0,0.0,564.9137524,0.0,0.0,0.0,0.0,0.0,0.0,564.9137524
116.0,1048.5309146666666,133.6169241333333,133.6169241333333,0.0,0.0,0.0,133.6169241333333,1048.5309146666666,133.6169241333333,0.0,0.0,0.0,133.6169241333333,133.6169241333333,1048.5309146666666,0.0,0.0,0.0,0.0,0.0,0.0,564.8534322666667,0.0,0.0,0.0,0.0,0.0,0.0,564.8534322666667,0.0,0.0,0.0,0.0,0.0,0.0,564.8534322666667
